Query	ChatId	UserId	Num	BotAnsw	BotHelp	BotAnswer	Time
Доброго времени суток, Марина.	14839480	22116511	1	0	0	Рады приветствовать вас на нашем сайте	2,271682978
Здравствуйте! не могу найти книгу по МСФО в БСС	14839454	640006	1	0	0	('НЕТ ОТВЕТА',)	44,49393106
Добрый день! Такой вопрос. У нас ИП на НДС. У нас с нового года в кассовых чеках при оплате наличными от юр.лиц пишется без НДС. Это правильно или так не должно быть.	14839458	8259179	1	0	0	"ОТВЕТ НА ВОПРОС ПОЛЬЗОВАТЕЛЯ:

* Это неправильно. Поскольку ваше ИП является плательщиком НДС, в кассовых чеках при расчетах с юридическими лицами обязательно должны быть указаны ставка и сумма НДС (""Ставка и сумма НДС – обязательные реквизиты в кассовом чеке только для продавцов, которые являются плательщиками НДС"" - из текста ""Как оформить кассовый чек, если продавец не платит НДС или освобожден от налога"", https://vip.1gl.ru?#/document/12/547644/)

* При расчетах между организациями и ИП указание НДС в чеке является обязательным требованием (""В печатной форме чека реквизит обязательно указывать только при расчетах между организациями и ИП"" - из текста ""Как исправить ошибку в чеке"", https://vip.1gl.ru?#/document/16/72276/)

* Если в чеке не указан НДС при расчетах с юридическими лицами, это является нарушением, и такой чек нужно исправить (""Если же сотрудник приобретал товар от имени организации по доверенности, в чеке продавец обязан указывать сведения об НДС (ставку, сумму НДС или информацию о том, что товар не облагается НДС). В таком случае чек без НДС будет оформлен с нарушением законодательства"" - из текста ""Можно ли принять авансовый отчет сотрудника, если в кассовом чеке не указан НДС"", https://vip.1gl.ru?#/document/12/430732/)"	121,7083449
Добрый день	14839473	7736683	1	1	0	Рады приветствовать вас на нашем сайте	1,123988628
Добрый день. Нужно ли облагать Ндфл и страховыми взносами материальную помощь сотруднику в связи со смертью отца в размере 100 т.р.	14846555	1579605	1	0	0	"ОТВЕТ НА ВОПРОС ПОЛЬЗОВАТЕЛЯ:

* Материальная помощь в связи со смертью отца сотрудника не облагается НДФЛ, так как согласно законодательству ""сумма единовременной материальной помощи сотруднику в связи со смертью членов его семьи не облагается НДФЛ (абз. 3 п. 8 ст. 217 НК)"" (Заголовок текста: ""НДФЛ с материальной помощи сотруднику или члену его семьи"", ссылка: https://vip.1gl.ru?#/document/86/554546/)

* Страховые взносы на материальную помощь в связи со смертью отца сотрудника не начисляются, поскольку ""На матпомощь членам семьи сотрудника страховые взносы не начисляйте. Родственники работника не состоят с организацией в трудовых или гражданско-правовых отношениях. Объект обложения взносами на обязательное пенсионное, социальное, медицинское страхование отсутствует (ст. 420 НК). Взносы на травматизм также не начисляйте"" (Заголовок текста: ""Облагается ли страховыми взносами материальная помощь сотруднику или члену его семьи"", ссылка: https://vip.1gl.ru?#/document/86/554547/)

* Для оформления выплаты необходимо: ""Близким умершего надо написать заявление на материальную помощь и представить копию свидетельства о смерти. На основании этих документов нужно издать приказ об оказании материальной помощи"" (Заголовок текста: ""Выплаты умершему сотруднику"", ссылка: https://vip.1gl.ru?#/document/86/818570/)"	97,07469869
Добрый день! Подскажите, принимаем в расходы НУ услуги такси, необходимо ли чтобы у данной организации была лицензия для оказания данных услуг, для принятие в расходы в НУ?	14846493	3111998	1	0	0	"НЕТ ОТВЕТА

В предоставленных материалах нет прямого указания на необходимость наличия лицензии у организации такси для принятия расходов в налоговом учете. В текстах говорится только об общих принципах документального подтверждения расходов и порядке применения ККТ в такси, но не затрагивается вопрос лицензирования деятельности такси в контексте налогового учета расходов.

Для полного ответа на вопрос пользователя необходимы дополнительные материалы, касающиеся непосредственно требований к лицензированию деятельности такси в контексте признания расходов в налоговом учете."	90,41120219
Доброе утро! Подскажите пожалуйста при объединении земельных участков исходный земельный участок списываем на 01 счет , оформляем актом на списание или бух справками проводим?	14846536	454088	1	0	0	"НЕТ ОТВЕТА

Предоставленные материалы содержат информацию только о порядке оформления сводного счета-фактуры при продаже земельного участка вместе со зданием. В них нет информации о:
1. Порядке списания исходного земельного участка при объединении
2. Необходимости оформления акта на списание или бухгалтерской справки
3. Проводках по счету 01 при объединении земельных участков

Для корректного ответа на вопрос пользователя нужны дополнительные материалы, регламентирующие порядок учета операций по объединению земельных участков."	91,55303812
добрый день! сотрудницу приняли на работу 01.11.2024г. она проработала 14 дней и написала заявление по уходу за ребенком до 3 лет. Это до 21.04.2025г. 22.04.2025 она вышла на работу и продолжает работать. сейчас она написала заявление на отпуск с 04.06.2025 по 17.06.25. как правильно рассчитать количество дней отпуска, которые мы можем ей предоставить? период по уходу за ребенком входит в стаж? и если у нее нет заработка для начисления отпускных	14846508	519381	1	0	0	Рады приветствовать вас на нашем сайте	1,420783758
Добрый день. Подскажите, пожалуйста. Если индивидуальный предприниматель находился на УСН и перешел с апреля месяца на ПСН, ему необходимо уплатить налог по УСН до апреля?	14846497	417272	1	0	0	"ОТВЕТ НА ВОПРОС ПОЛЬЗОВАТЕЛЯ:

* Да, индивидуальный предприниматель обязан уплатить налог по УСН за период до перехода на ПСН (до апреля). Это подтверждается тем, что при нарушении условий ПСН ""придется платить налоги общей системы, УСН или ЕСХН в зависимости от того, с какой налоговой системой совмещали ПСН"" (Текст ""Ограничения на патенте"", ссылка: https://vip.1gl.ru?#/document/86/792835/).

* При этом, при расчете налога по ПСН за оставшийся период 2023 года, ИП может уменьшить сумму патентного налога на уплаченные страховые взносы. ""При расчете налога по ПСН за 2023 год ИП вправе уменьшить налог на все исчисленные взносы за 2023 год со сроком уплаты не позднее 1 июля 2024 года"" (Текст ""Как ИП уменьшить патент на взносы"", ссылка: https://vip.1gl.ru?#/document/16/183576/).

* Предприниматель может сам решить, в каком периоде учесть взносы при расчете налога - ""ФНС разъяснила, что они могут быть признаны налогоплательщиком подлежащими уплате как в 2023 году, так и в 2024 году"" (Текст ""Как ИП уменьшить патент на взносы"", ссылка: https://vip.1gl.ru?#/document/16/183576/)."	93,79967856
Добрый день. Работник принес свидетельство о рождении ребенка, где в графе отец стоит прочерк. Можем ли мы предоставить двойной вычет? Или нам нужна еще справка из ЗАГСА?	14846505	671247	1	0	0	"ОТВЕТ НА ВОПРОС ПОЛЬЗОВАТЕЛЯ:

* Да, вы можете предоставить двойной вычет, так как мать признается единственным родителем, если отец не указан в свидетельстве о рождении (""Единственным родителем признают мать, когда ребенок рожден вне брака и отцовство не установлено. То есть когда отец не указан в свидетельстве о рождении."" - из текста ""Кого признают единственным родителем..."" https://vip.1gl.ru?#/document/12/542620/)

* Дополнительная справка из ЗАГСа не требуется. Достаточно свидетельства о рождении с прочерком в графе ""Отец"" (""копией свидетельства о рождении ребенка, в котором в графе «Отец» поставлен прочерк"" - из текста ""Кого признают единственным родителем..."" https://vip.1gl.ru?#/document/12/542620/)

* Для получения двойного вычета работнику необходимо предоставить:
- копию свидетельства о рождении ребенка с прочерком в графе ""Отец""
- копию паспорта, подтверждающего, что родитель не вступил в брак
(""Право на вычет подтверждают копией свидетельства о рождении ребенка, паспорта, удостоверяющего, что родитель не вступил в брак, и другими документами"" - из текста ""Кого признают единственным родителем..."" https://vip.1gl.ru?#/document/12/542620/)

* Важно: право на двойной вычет будет утрачено, если единственный родитель вступит в брак (""после вступления в брак независимо от того, усыновлен или нет ребенок супругом"" - из текста ""Кого признают единственным родителем..."" https://vip.1gl.ru?#/document/12/542620/)"	109,1536551
заявления на отпуск можно принимать в печатном виде ?	14846539	114972	1	0	0	"ОТВЕТ НА ВОПРОС ПОЛЬЗОВАТЕЛЯ:

* Да, заявления на отпуск можно принимать в печатном виде, поскольку законодательство не устанавливает обязательных требований к форме заявления на отпуск (""В законодательстве нет требования о том, чтобы сотрудники писали заявления на отпуск"" - Заявление на отпуск в 2025 году, https://vip.1gl.ru?#/document/86/787237/)

* Форма подачи заявления (печатная или рукописная) определяется внутренними локальными актами работодателя (""Но у многих работодателей обязанность написать заявление предусмотрена во внутренних локальных актах"" - Заявление на отпуск в 2025 году, https://vip.1gl.ru?#/document/86/787237/)

* При разработке внутренних правил подачи заявлений на отпуск следует учитывать рекомендации Роструда о сроках подачи - не позднее трех календарных дней до начала отпуска (""Роструд рекомендует прописать во внутреннем локальном документе правило, что работник должен представить заявление не позднее чем за три календарных дня до начала отдыха"" - Заявление на отпуск в 2025 году, https://vip.1gl.ru?#/document/86/787237/)"	78,84091663
Добрый день	14846550	134173	1	1	0	Рады приветствовать вас на нашем сайте	1,399545431
Не та ссылка	14846622	1579605	1	0	0	ДРУГОЕ	2,624551296
